created_at,entry_id,field1,field2,field3
2024-11-14 08:51:00 UTC,1384,24.30000,35.20000,
2024-11-14 08:51:16 UTC,1385,24.30000,35.20000,
2024-11-14 08:51:31 UTC,1386,24.30000,35.10000,
2024-11-14 08:52:01 UTC,1387,24.30000,35.10000,
2024-11-14 08:52:16 UTC,1388,24.40000,35.00000,
2024-11-14 08:52:32 UTC,1389,24.30000,34.90000,
2024-11-14 08:53:02 UTC,1390,24.30000,34.80000,
2024-11-14 08:53:17 UTC,1391,24.30000,34.90000,
2024-11-14 08:53:33 UTC,1392,24.30000,34.80000,
2024-11-14 08:54:03 UTC,1393,24.30000,34.80000,
2024-11-14 08:54:32 UTC,1394,24.20000,34.80000,
2024-11-14 08:54:51 UTC,1395,24.20000,34.80000,
2024-11-14 08:55:18 UTC,1396,24.20000,34.70000,
2024-11-14 08:55:34 UTC,1397,24.20000,34.80000,
2024-11-14 08:55:50 UTC,1398,24.30000,34.70000,
2024-11-14 08:56:06 UTC,1399,24.30000,34.60000,
2024-11-14 08:56:21 UTC,1400,24.30000,34.50000,
2024-11-14 08:56:51 UTC,1401,24.30000,34.40000,
2024-11-14 08:57:08 UTC,1402,24.30000,34.30000,
2024-11-14 08:57:23 UTC,1403,24.30000,34.30000,
2024-11-14 08:57:39 UTC,1404,24.30000,34.30000,
2024-11-14 08:57:54 UTC,1405,24.30000,34.30000,
2024-11-14 08:58:12 UTC,1406,24.30000,34.20000,
2024-11-14 08:58:42 UTC,1407,24.20000,34.30000,
2024-11-14 08:58:57 UTC,1408,24.20000,34.30000,
2024-11-14 08:59:12 UTC,1409,24.20000,34.30000,
2024-11-14 08:59:28 UTC,1410,24.20000,34.40000,
2024-11-14 08:59:44 UTC,1411,24.20000,34.50000,
2024-11-14 09:00:14 UTC,1412,24.20000,34.40000,
2024-11-14 09:00:29 UTC,1413,24.30000,34.30000,
2024-11-14 09:00:46 UTC,1414,24.30000,34.30000,
2024-11-14 09:01:17 UTC,1415,24.30000,34.40000,
2024-11-14 09:01:32 UTC,1416,24.30000,34.30000,
2024-11-14 09:01:48 UTC,1417,24.20000,34.40000,
2024-11-14 09:02:03 UTC,1418,24.30000,34.40000,
2024-11-14 09:02:20 UTC,1419,24.30000,34.30000,
2024-11-14 09:02:36 UTC,1420,24.30000,34.30000,
2024-11-14 09:02:56 UTC,1421,24.20000,34.20000,
2024-11-14 09:03:24 UTC,1422,24.20000,34.30000,
2024-11-14 09:03:40 UTC,1423,24.20000,34.60000,
2024-11-14 09:03:57 UTC,1424,24.20000,34.80000,
2024-11-14 09:04:27 UTC,1425,24.30000,35.00000,
2024-11-14 09:04:57 UTC,1426,24.30000,34.60000,
2024-11-14 09:05:13 UTC,1427,24.20000,34.50000,
2024-11-14 09:05:30 UTC,1428,24.20000,34.40000,
2024-11-14 09:05:46 UTC,1429,24.20000,34.50000,
2024-11-14 09:06:01 UTC,1430,24.20000,34.40000,
2024-11-14 09:06:32 UTC,1431,24.20000,34.70000,
2024-11-14 09:06:47 UTC,1432,24.20000,34.60000,
2024-11-14 09:07:03 UTC,1433,24.20000,34.50000,
2024-11-14 09:07:18 UTC,1434,24.20000,34.70000,
2024-11-14 09:07:33 UTC,1435,24.20000,34.70000,
